Job Title,Updated Date,Location,Company,Min Salary,Max Salary
Mobile App Entwickler (m/w/d) in Dresden,2025-03-06T03:25:50Z,Dresden,Kontext E GmbH,45500,63500
AI/ML Software Engineer,2025-03-06T03:12:26Z,München,Dassault Systèmes,60000,90000
CRM-Support Mitarbeiter*in,2025-03-06T02:48:37Z,Dresden,Sellmore GmbH,34500,44500
Softwaretester (m/w/d),2025-03-06T02:08:08Z,Dresden,Robotron Datenbank-Software GmbH,35000,51500
Senior Software Engineer (m/w/d),2025-03-06T01:12:14Z,Hamburg,Amadeus Fire AG,65000,80000
IT-Systemadministrator (m/w/d) Container Technologie 633003,2025-03-06T00:53:33Z,München,Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB),44000,69000
(Junior) DevOps Engineer (m/w/d) 633002,2025-03-06T00:53:29Z,München,Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB),52500,63000
IT-Applikationsadministration (m/w/d) Migration und RZ-Volumen 633001,2025-03-06T00:53:24Z,München,Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB),44000,67000
Systemadministration für Informations- und Kommunikationstechnik (m/w/d),2025-03-06T00:15:32Z,Berlin,HTW Berlin,42500,59500
Fachinformatiker*in,2025-03-06T00:14:49Z,Berlin,HTW Berlin,40000,58000
"IT Administrators (m/f/d), Cologne",2025-03-06T00:07:05Z,Köln,LOWTeq GmbH,42000,59000
"Software developers (m/f/d), Cologne",2025-03-06T00:06:54Z,Köln,LOWTeq GmbH,43000,62000
(Junior) Software Developer (m/f/d) Web Applications,2025-03-05T23:55:41Z,Görlitz,Cideon,29500,41000
Cloud Architect / DevOps Engineer (m/f/d),2025-03-05T23:00:13Z,Hannover,digital cuisine GmbH & Co. KG,50500,72500
Senior Backend & DevOps Engineer (m/f/d),2025-03-05T17:34:12Z,München,Peter Park System GmbH,57500,78500
Junior IT-Supporter (m/w/d),2025-03-05T17:33:47Z,Dreieich,FORMAT Software Service GmbH,36000,53500
Senior 2nd-Level Support (m/w/d),2025-03-05T17:32:38Z,Köln,CompuGroup Medical SE & Co. KGaA,33500,50500
Junior Cloud Engineer (m/w/x),2025-03-05T17:32:25Z,Bad Homburg vor der Höhe,Content Software GmbH,49000,66000
