Job Title;Updated Date;Company;Min Salary;Max Salary;Cleaned_City;Latitude;Longitude;country;State
Junior Softwareentwickler (m/w/d) â€“ PHP;2025-04-10T15:01:19Z;WeMatch.;;;frankfurt;501136;86797;Germany;Hesse
Senior Software-Developer (m/w/d);2025-04-10T15:00:48Z;WeMatch.;;;frankfurt;501136;86797;Germany;Hesse
Java-Entwickler (m/w/d) - Fullstack;2025-04-10T13:32:36Z;FALKEN Group;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
Solution Architect (gn);2025-04-10T11:54:59Z;HRVST GmbH;;;leipzig;513500;123833;Germany;Saxony
Solution Architect (gn);2025-04-10T11:46:48Z;HRVST GmbH;;;leipzig;513500;123833;Germany;Saxony
Full Stack Web Engineer (m/w/d);2025-04-10T11:08:52Z;DeepImmo GmbH;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
IT Systemingenieur (m/w/d);2025-04-10T11:08:45Z;AMETRAS informatik AG;;;ravensburg;477831;96114;Germany;Baden-Württemberg
Business Intelligence Consultant (m/w/d);2025-04-10T11:08:43Z;AMETRAS informatik AG;;;ravensburg;477831;96114;Germany;Baden-Württemberg
Softwareentwickler Gupta (m/w/d);2025-04-10T11:08:43Z;AMETRAS informatik AG;;;ravensburg;477831;96114;Germany;Baden-Württemberg
Softwareentwickler Python/Odoo ERP (m/w/d);2025-04-10T11:08:43Z;AMETRAS informatik AG;;;ulm;483984;99916;Germany;Baden-Württemberg
IT Systemadministrator;2025-04-10T11:08:42Z;AMETRAS informatik AG;;;ravensburg;477831;96114;Germany;Baden-Württemberg
Fullstack Developer (m/f/d);2025-04-10T11:08:36Z;Green Fusion GmbH;;;berlin;525167;133833;Germany;Berlin
Abteilungsleitung â€œEnd-2-End Individueller Anwendungsbetriebâ€œ (m/w/d);2025-04-10T11:06:17Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
Java-Entwickler fÃ¼r Projekt-Software-Entwicklung (m/w/d);2025-04-10T11:06:06Z;Finanz Informatik GmbH & Co. KG;;;münster;519625;76256;Germany;North Rhine-Westphalia
Spezialist Contact-Center (m/w/d);2025-04-10T11:06:01Z;Finanz Informatik GmbH & Co. KG;;;münster;519625;76256;Germany;North Rhine-Westphalia
Abteilungsleitung ZV-Compliance Vernetzung + (m/w/d);2025-04-10T11:05:51Z;Finanz Informatik GmbH & Co. KG;;;münster;519625;76256;Germany;North Rhine-Westphalia
IT-Projektleitung (m/w/d);2025-04-10T11:05:30Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
