city;lat;lng;country;State/admin
Sankt Wendel;494667;71667;Germany;Saarland
Teltow;524022;132706;Germany;Brandenburg
Bad Honnef am Rhein;506450;72269;Germany;North Rhine-Westphalia
Helmstedt;522281;110106;Germany;Lower Saxony
Bingen am Rhein;499669;78950;Germany;Rhineland-Palatinate
Achern;486314;80739;Germany;Baden-Württemberg
Zirndorf;494500;109500;Germany;Bavaria
Roth;492461;110911;Germany;Bavaria
Lennestadt;511236;80681;Germany;North Rhine-Westphalia
Verl;518831;85167;Germany;North Rhine-Westphalia
Lindau;475458;96839;Germany;Bavaria
Lübbecke;523081;86231;Germany;North Rhine-Westphalia
Rinteln;521906;90814;Germany;Lower Saxony
Brilon;513956;85678;Germany;North Rhine-Westphalia
Staßfurt;518667;115667;Germany;Saxony-Anhalt
Zittau;508961;148072;Germany;Saxony
Plettenberg;512128;78715;Germany;North Rhine-Westphalia
Groß-Gerau;499214;84818;Germany;Hesse
Schleswig;545153;95697;Germany;Schleswig-Holstein
Geretsried;478667;114667;Germany;Bavaria
Rottweil;481681;86247;Germany;Baden-Württemberg
Friedrichsdorf;502569;86418;Germany;Hesse
Petershagen;523833;89667;Germany;North Rhine-Westphalia
Pfungstadt;498056;86044;Germany;Hesse
Harsewinkel;519667;82331;Germany;North Rhine-Westphalia
Wiehl;509500;75333;Germany;North Rhine-Westphalia
Horb am Neckar;484450;86911;Germany;Baden-Württemberg
Rudolstadt;507169;113275;Germany;Thuringia
Salzkotten;516708;86047;Germany;North Rhine-Westphalia
Norden;535967;72056;Germany;Lower Saxony
Weingarten;478078;96417;Germany;Baden-Württemberg
Obertshausen;500715;88482;Germany;Hesse
Idstein;502206;82692;Germany;Hesse
Ditzingen;488264;90667;Germany;Baden-Württemberg
Schmallenberg;511333;83000;Germany;North Rhine-Westphalia
Delitzsch;515264;123425;Germany;Saxony
Warstein;514500;83667;Germany;North Rhine-Westphalia
Sprockhövel;513614;72440;Germany;North Rhine-Westphalia
Bad Oldesloe;538117;103742;Germany;Schleswig-Holstein
Olpe;510289;78514;Germany;North Rhine-Westphalia
Espelkamp;523772;86328;Germany;North Rhine-Westphalia
Rathenow;526000;123333;Germany;Brandenburg
Senftenberg;515167;140167;Germany;Brandenburg
Meiningen;505500;104167;Germany;Thuringia
Waldshut-Tiengen;476231;82144;Germany;Baden-Württemberg
Sonneberg;503500;111667;Germany;Thuringia
Salzwedel;528500;111500;Germany;Saxony-Anhalt
Calw;487144;87375;Germany;Baden-Württemberg
Korbach;512719;88731;Germany;Hesse
Starnberg;479972;113406;Germany;Bavaria
Freudenstadt;484633;84111;Germany;Baden-Württemberg
Mosbach;493500;91333;Germany;Baden-Württemberg
Husum;544769;90511;Germany;Schleswig-Holstein
Westerstede;532500;79167;Germany;Lower Saxony
Burg;522725;118550;Germany;Saxony-Anhalt
Weilheim;478333;111333;Germany;Bavaria
Bad Kissingen;502000;100667;Germany;Bavaria
Stadthagen;523247;92069;Germany;Lower Saxony
Apolda;510247;115139;Germany;Thuringia
Osterode;517286;102522;Germany;Lower Saxony
Kitzingen;497333;101667;Germany;Bavaria
Heide;541961;90933;Germany;Schleswig-Holstein
Sonthofen;475142;102817;Germany;Bavaria
Sondershausen;513667;108667;Germany;Thuringia
Aichach;484500;111333;Germany;Bavaria
Germersheim;492167;83667;Germany;Rhineland-Palatinate
Günzburg;484525;102711;Germany;Bavaria
Luckenwalde;520831;131667;Germany;Brandenburg
Traunstein;478683;126433;Germany;Bavaria
Mühldorf;482456;125228;Germany;Bavaria
Wittmund;535747;77808;Germany;Lower Saxony
Bad Salzungen;508117;102333;Germany;Thuringia
Lichtenfels;501333;110333;Germany;Bavaria
Greiz;506547;121997;Germany;Thuringia
Donauwörth;487184;107770;Germany;Bavaria
Torgau;515603;130056;Germany;Saxony
Holzminden;518297;94483;Germany;Lower Saxony
Dingolfing;486333;125000;Germany;Bavaria
Annaberg-Buchholz;505800;130022;Germany;Saxony
Eschwege;511881;100528;Germany;Hesse
